company_id,employee_id,employee_name,in_time,out_time
1,1001,John Smith,2022-01-01 08:02:00,2022-01-01 17:09:00
1,1001,John Smith,2022-01-02 08:42:00,2022-01-02 18:32:00
1,1001,John Smith,2022-01-03 09:18:00,2022-01-03 17:33:00
1,1001,John Smith,2022-01-04 09:58:00,2022-01-04 17:20:00
1,1001,John Smith,2022-01-05 09:15:00,2022-01-05 18:05:00
1,1001,John Smith,2022-01-06 09:38:00,2022-01-06 18:16:00
1,1001,John Smith,2022-01-07 08:43:00,2022-01-07 17:29:00
1,1001,John Smith,2022-01-08 09:16:00,2022-01-08 17:26:00
1,1001,John Smith,2022-01-09 09:54:00,2022-01-09 18:17:00
1,1001,John Smith,2022-01-10 09:32:00,2022-01-10 17:29:00
1,1001,John Smith,2022-01-11 09:16:00,2022-01-11 18:28:00
1,1001,John Smith,2022-01-12 08:58:00,2022-01-12 18:48:00
1,1001,John Smith,2022-01-13 09:47:00,2022-01-13 17:51:00
1,1001,John Smith,2022-01-14 08:31:00,2022-01-14 18:40:00
1,1001,John Smith,2022-01-15 08:33:00,2022-01-15 17:11:00
1,1001,John Smith,2022-01-16 09:56:00,2022-01-16 18:49:00
1,1001,John Smith,2022-01-17 08:57:00,2022-01-17 17:06:00
1,1001,John Smith,2022-01-18 08:59:00,2022-01-18 18:08:00
1,1001,John Smith,2022-01-19 09:23:00,2022-01-19 17:07:00
1,1001,John Smith,2022-01-20 09:38:00,2022-01-20 17:22:00
1,1001,John Smith,2022-01-21 08:28:00,2022-01-21 17:14:00
1,1001,John Smith,2022-01-22 08:48:00,2022-01-22 17:15:00
1,1001,John Smith,2022-01-23 09:42:00,2022-01-23 18:25:00
1,1001,John Smith,2022-01-24 08:13:00,2022-01-24 18:49:00
1,1001,John Smith,2022-01-25 08:38:00,2022-01-25 17:58:00
1,1001,John Smith,2022-01-26 08:35:00,2022-01-26 17:01:00
1,1001,John Smith,2022-01-27 08:37:00,2022-01-27 18:42:00
1,1001,John Smith,2022-01-28 08:01:00,2022-01-28 17:51:00
1,1001,John Smith,2022-01-29 08:51:00,2022-01-29 18:19:00
1,1001,John Smith,2022-01-30 08:00:00,2022-01-30 17:04:00
1,1001,John Smith,2022-01-31 09:08:00,2022-01-31 18:47:00
1,1001,John Smith,2022-02-01 08:38:00,2022-02-01 18:09:00
1,1001,John Smith,2022-02-02 08:36:00,2022-02-02 18:48:00
1,1001,John Smith,2022-02-03 09:38:00,2022-02-03 17:33:00
1,1001,John Smith,2022-02-04 09:03:00,2022-02-04 17:05:00
1,1001,John Smith,2022-02-05 08:23:00,2022-02-05 17:33:00
1,1001,John Smith,2022-02-06 08:14:00,2022-02-06 18:15:00
1,1001,John Smith,2022-02-07 08:06:00,2022-02-07 18:56:00
1,1001,John Smith,2022-02-08 08:50:00,2022-02-08 17:34:00
1,1001,John Smith,2022-02-09 08:46:00,2022-02-09 17:39:00
1,1001,John Smith,2022-02-10 09:00:00,2022-02-10 17:58:00
